paper_id,title,score
121721,PUO-Bench: A Panel Understanding and Operation Benchmark with A Privacy-Preserving Framework,5.0
115675,Procurement Auctions with Predictions: Improved Frugality for Facility Location,3.6
115516,Noise Matters: Optimizing Matching Noise for Diffusion Classifiers,4.4
116999,Constrained Linear Thompson Sampling,4.7
120057,LoSplit: Loss-Guided Dynamic Split for Training-Time Defense Against Graph Backdoor Attacks,4.7
116745,Robust Hallucination Detection in LLMs via Adaptive Token Selection,5.0
117714,The quest for the GRAph Level autoEncoder (GRALE),5.0
119380,SignFlow Bipartite Subgraph Network For Large-Scale Graph Link Sign Prediction,4.4
117924,Word-Level Emotional Expression Control in Zero-Shot Text-to-Speech Synthesis,5.0
116325,"A Near-optimal, Scalable and Parallelizable Framework for Stochastic Bandits Robust to Adversarial Corruptions and Beyond",3.9
115736,Heavy-Ball Momentum Method in Continuous Time and Discretization Error Analysis,1.5
117495,Structure Matters: Dynamic Policy Gradient,3.1
115241,Spectral Compressive Imaging via Chromaticity-Intensity Decomposition,4.7
117968,"Minimum Width for Deep, Narrow MLP: A Diffeomorphism Approach",3.9
120193,Dynamic Text Bundling Supervision for Zero-Shot Inference on Text-Attributed Graphs,3.9
119270,SpecMAS: A Multi-Agent System for Self-Verifying System Generation via Formal Model Checking,5.0
115138,Execution Guided Line-by-Line Code Generation,2.7
118129,Dual Prototype-Enhanced Contrastive Framework for Class-Imbalanced Graph Domain Adaptation,5.0
116284,Vinci: Deep Thinking in Text-to-Image Generation using Unified Model with Reinforcement Learning,4.7
115746,"PolyJuice Makes It Real: Black-Box, Universal Red-Teaming for Synthetic Image Detectors",3.9
119309,CADGrasp: Learning Contact and Collision Aware General Dexterous Grasping in Cluttered Scenes,3.5
117399,Selftok-Zero: Reinforcement Learning for Visual Generation via Discrete and Autoregressive Visual Tokens,2.8
116060,Dynamic Test-Time Compute Scaling in Control Policy: Difficulty-Aware Stochastic Interpolant Policy,4.7
115599,Kernel Regression in Structured Non-IID Settings: Theory and Implications for Denoising Score Learning,2.3
115156,Mint: A Simple Test-Time Adaptation of Vision-Language Models against Common Corruptions,4.3
119840,Self-diffusion for Solving Inverse Problems,5.0
117704,The Overthinker's DIET: Cutting Token Calories with DIfficulty-AwarE Training,4.4
115032,Structure-Aware Cooperative Ensemble Evolutionary Optimization on Combinatorial Problems with Multimodal Large Language Models,3.9
117629,Towards Multi-Physics Neural Operators via HyperPINNs and the Method of Manufactured Solutions,3.6
119994,Uncertainty-Guided Exploration for Efficient AlphaZero Training,3.1
121744,OpenUnlearning: Accelerating LLM Unlearning via Unified Benchmarking of Methods and Metrics,5.0
117941,Fully Dynamic Algorithms for Chamfer Distance,2.3
118471,Under the Shadow: Exploiting Opacity Variation for Fine-grained Shadow Detection,4.7
115283,VividFace: A Robost and High-Fidelity Video Face Swapping Framework,5.0
115810,Multiverse: Your Language Models Secretly Decide How to Parallelize and Merge Generation,2.8
118277,CAML: Collaborative Auxiliary Modality Learning for Multi-Agent Systems,4.3
118298,Single-Step Operator Learning for Conditioned Time-Series Diffusion Models,2.3
117248,RIGNO: A Graph-based Framework For Robust And Accurate Operator Learning For PDEs On Arbitrary Domains,3.9
117214,Generalization Bounds for Kolmogorov-Arnold Networks (KANs) and Enhanced KANs with Lower Lipschitz Complexity,3.1
115140,Reasoning Can Hurt the Inductive Abilities of Large Language Models,3.1
118892,Principled Long-Tailed Generative Modeling via Diffusion Models,5.0
117492,RvLLM: LLM Runtime Verification with Domain Knowledge,4.4
118612,Towards Multi-Table Learning: A Novel Paradigm for Complementarity Quantification and Integration,4.3
116980,Fading to Grow: Growing Preference Ratios via Preference Fading Discrete Diffusion for Recommendation,5.0
117961,MoCha: Towards Movie-Grade Talking Character Generation,5.0
118985,Optimal Minimum Width for the Universal Approximation of Continuously Differentiable Functions by Deep Narrow MLPs,1.5
119763,Learning Chern Numbers of Multiband Topological Insulators with Gauge Equivariant Neural Networks,3.1
116185,Preference-Guided Diffusion for Multi-Objective Offline Optimization,4.7
115633,SingRef6D: Monocular Novel Object Pose Estimation with a Single RGB Reference,5.0
121759,Scaling Computer-Use Grounding via User Interface Decomposition and Synthesis,5.0
120263,Memory-Augmented Potential Field Theory: A Framework for Adaptive Control in Non-Convex Domains,3.5
119025,Bridging the Expressivity Gap: Provably Tractable SHAP Explanations for Tensor Networks,3.6
115227,Smooth Regularization for Efficient Video Recognition,4.2
118691,Reparameterized LLM Training via Orthogonal Equivalence Transformation,2.6
121601,CoRe: Benchmarking LLMs’ Code Reasoning Capabilities through Static Analysis Tasks,4.3
116263,Characterizing Dataset Bias via Disentangled Visual Concepts,5.0
115368,Prot2Text-V2: Protein Function Prediction with Multimodal Contrastive Alignment,3.5
118868,Shapley-Coop: Credit Assignment for Emergent Cooperation in Self-Interested LLM Agents,3.1
117164,LOPT: Learning Optimal Pigovian Tax in Sequential Social Dilemmas,5.0
116083,One for All: Universal Topological Primitive Transfer for Graph Structure Learning,5.0
118914,Beyond Last-Click: An Optimal Mechanism for Ad Attribution,3.9
119755,AlignAb: Pareto-Optimal Energy Alignment for Designing Nature-Like Antibodies,3.9
115912,Relaxing partition admissibility in Cluster-DAGs: a causal calculus with arbitrary variable clustering,2.7
121652,Demystifying Network Foundation Models,3.5
118542,Topology-Aware Conformal Prediction for Stream Networks,5.0
117706,On topological descriptors for graph products,1.5
118715,Graph-based Symbolic Regression with Invariance and Constraint Encoding,3.5
116239,Glocal Information Bottleneck for Time Series Imputation,5.0
118076,Knowledge Distillation Detection for Open-weights Models,4.6
117726,MEIcoder: Decoding Visual Stimuli from Neural Activity by Leveraging Most Exciting Inputs,5.0
116587,Investigating and Mitigating Catastrophic Forgetting in Medical Knowledge Injection through Internal Knowledge Augmentation Learning,5.0
115212,FACT: Mitigating Inconsistent Hallucinations in LLMs via Fact-Driven Alternating Code-Text Training,5.0
118800,It’s Hard to Be Normal: The Impact of Noise on Structure-agnostic Estimation,2.3
121573,Solving Inequality Proofs with Large Language Models,4.0
120046,SHF: Symmetrical Hierarchical Forest with Pretrained Vision Transformer Encoder for High-Resolution Medical Segmentation,5.0
116052,Uni-MuMER: Unified Multi-Task Fine-Tuning of Vision-Language Model for Handwritten Mathematical Expression Recognition,5.0
115323,Graph Persistence goes Spectral,3.9
118108,Chain of Execution Supervision Promotes General Reasoning in Large Language Models,4.3
119693,FocalCodec: Low-Bitrate Speech Coding via Focal Modulation Networks,4.7
118683,Trained Mamba Emulates Online Gradient Descent in In-Context Linear Regression,3.1
118895,Stable Matching with Ties: Approximation Ratios and Learning,2.8
117779,SPOT-Trip: Dual-Preference Driven Out-of-Town Trip Recommendation,5.0
118401,Learning Neural Exposure Fields for View Synthesis,5.0
119292,MetaSlot: Break Through the Fixed Number of Slots in Object-Centric Learning,4.7
116708,AdaPA-Agent: A Personalized Agent with Adaptive Preference Arithmetic for Dynamic Preference Modeling,3.1
121755,ProteinConformers: Benchmark Dataset for Simulating Protein Conformational Landscape Diversity and Plausibility,5.0
119385,EnzyControl: Adding Functional and Substrate-Specific Control for Enzyme Backbone Generation,4.7
115208,Lost in Latent Space: An Empirical Study of Latent Diffusion Models for Physics Emulation,2.7
119325,TopoPoint: Enhance Topology Reasoning via Endpoint Detection in Autonomous Driving,5.0
115068,Semi-off-Policy Reinforcement Learning for Vision-Language Slow-thinking Reasoning,4.8
115010,Scalable and Cost-Efficient de Novo Template-Based Molecular Generation,3.9
118022,One-Step Offline Distillation of Diffusion-based Models  via Koopman Modeling,5.0
117820,PASS: Path-selective State Space Model for Event-based Recognition,5.0
116900,Right for the Right Reasons: Avoiding Reasoning Shortcuts via Prototype-Augmented Neurosymbolic AI,4.6
117028,A Gradient Guidance Perspective on Stepwise Preference Optimization for Diffusion Models,3.9
115683,Point-MaDi: Masked Autoencoding with Diffusion for Point Cloud Pre-training,5.0
116842,DeepBLNet: Bilevel Network Learning via Hierarchically Structured Sparsity,3.9
117120,Are Large Reasoning Models Good Translation Evaluators? Analysis and Performance Boost,3.9
117648,Vision Transformers with Self-Distilled Registers,3.6
119814,Scaling Up Parameter Generation: A Recurrent Diffusion Approach,4.7
116841,Drag-and-Drop LLMs: Zero-Shot Prompt-to-Weights,4.3
118336,HybridNorm: Towards Stable and Efficient Transformer Training via Hybrid Normalization,3.9
116912,A Generalized Label Shift Perspective for Cross-Domain Gaze Estimation,4.7
119163,LLM Meets Diffusion: A Hybrid Framework for Crystal Material Generation,5.0
120058,A Physics-preserved Transfer Learning Method for Differential Equations,3.1
118821,Robust Reinforcement Learning in Finance:  Modeling Market Impact with Elliptic Uncertainty Sets,2.3
119047,Unifying Attention Heads and Task Vectors via Hidden State Geometry in In-Context Learning,3.1
116988,Efficient RAW Image Deblurring with Adaptive Frequency Modulation,5.0
119531,Lifelong Safety Alignment for Language Models,4.7
117702,Hierarchical Optimization via LLM-Guided Objective Evolution for Mobility-on-Demand Systems,5.0
119533,AltLoRA: Towards Better Gradient Approximation in Low-Rank Adaptation with Alternating Projections,2.3
117278,Sherlock: Self-Correcting Reasoning in Vision-Language Models,3.9
119808,Hierachical Balance Packing: Towards Efficient Supervised Fine-tuning for Long-Context LLM,4.3
118269,EventMG: Efficient Multilevel Mamba-Graph Learning for Spatiotemporal Event Representation,5.0
116452,Exploring and Leveraging Class Vectors for Classifier Editing,2.7
120049,Copresheaf Topological Neural Networks: A Generalized Deep Learning Framework,4.7
119537,Semantic Retrieval Augmented Contrastive Learning for Sequential Recommendation,5.0
116845,Continuous Simplicial Neural Networks,5.0
117158,Controllable 3D Molecular Generation for Structure-Based Drug Design Through Bayesian Flow Networks and Gradient Integration,5.0
117318,Constrained Entropic Unlearning: A Primal-Dual Framework for Large Language Models,5.0
115358,Beyond Higher Rank: Token-wise Input-Output Projections for Efficient Low-Rank Adaptation,3.9
115087,CoTAn: Numerically Stable and Efficient Framework for Context-Aware Low-Rank Approximation,3.9
118802,Beyond Oracle: Verifier-Supervision for Instruction Hierarchy in Reasoning and Instruction-Tuned LLMs,3.9
118302,HubGT: Fast Graph Transformer with Decoupled Hierarchy Labeling,4.4
121787,Hi3DEval: Advancing 3D Generation Evaluation with Hierarchical Validity,5.0
117687,ROGR: Relightable 3D Objects using Generative Relighting,5.0
118213,"Act to See, See to Act: Diffusion-Driven Perception-Action Interplay for Adaptive Policies",4.3
117314,Conformal Mixed-Integer Constraint Learning with Feasibility Guarantees,3.9
116936,ZeCO: Zero-Communication Overhead Sequence Parallelism for Linear Attention,5.0
116084,Federated Multi-armed Bandits with Efficient Bit-Level Communications,3.1
121481,MedMax: Mixed-Modal Instruction Tuning for Training Biomedical Assistants,4.3
115084,GeRaF: Neural Geometry Reconstruction from Radio Frequency Signals,3.9
117892,UFM: A Simple Path towards Unified Dense Correspondence with Flow,3.1
119066,Robust Policy Expansion for Offline-to-Online RL under Diverse Data Corruption,4.7
115692,Value Improved Actor Critic Algorithms,3.1
116036,DiEP: Adaptive Mixture-of-Experts Compression through Differentiable Expert Pruning,3.1
118157,Object Concepts Emerge from Motion,3.9
115420,Optimism Without Regularization: Constant Regret in Zero-Sum Games,1.5
117928,Learning to Insert for Constructive Neural Vehicle Routing Solver,5.0
118420,Gradient-Guided Epsilon Constraint Method for Online Continual Learning,3.6
119624,Why Popular MOEAs are Popular: Proven Advantages in Approximating the Pareto Front,2.8
117135,Exponential Convergence Guarantees for Iterative Markovian Fitting,2.3
117963,TS-MOF: Two-Stage Multi-Objective Fine-tuning for Long-Tailed Recognition,4.7
115157,Novel Exploration via Orthogonality,3.9
120038,ErrorTrace: A Black-Box Traceability Mechanism Based on Model Family Error Space,3.1
117165,FedQS: Optimizing Gradient and Model Aggregation for Semi-Asynchronous Federated Learning,5.0
117568,FORLA:Federated Object-centric Representation Learning with Slot Attention,5.0
115122,Confusion-Driven Self-Supervised Progressively Weighted Ensemble Learning for Non-Exemplar Class Incremental Learning,5.0
119903,PRIMT: Preference-based Reinforcement Learning with Multimodal Feedback and Trajectory Synthesis from Foundation Models,3.9
116470,Robust Neural Rendering in the Wild with Asymmetric Dual 3D Gaussian Splatting,5.0
117415,\textsc{Sneekdoor}: Stealthy Backdoor Attacks against Distribution Matching-based Dataset Condensation,3.1
115659,Adaptive Defense against Harmful Fine-Tuning via Bayesian Data Scheduler,4.7
116506,Advancing Expert Specialization for Better MoE,5.0
116043,Gradient Descent as Loss Landscape Navigation: a Normative Framework for Deriving Learning Rules,3.1
115511,3D Visual Illusion Depth Estimation,4.7
120286,H-SPLID: HSIC-based Saliency Preserving Latent Information Decomposition,2.6
119959,GRE Suite: Geo-localization Inference via Fine-Tuned Vision-Language Models and Enhanced Reasoning Chains,5.0
119904,PRIMT: Preference-based Reinforcement Learning with Multimodal Feedback and Trajectory Synthesis from Foundation Models,3.9
118159,Deep RL Needs Deep Behavior Analysis: Exploring Implicit Planning by Model-Free Agents in Open-Ended Environments,3.6
116860,STaRFormer: Semi-Supervised Task-Informed Representation Learning via Dynamic Attention-Based Regional Masking for Sequential Data,5.0
116390,"Effortless, Simulation-Efficient Bayesian Inference using Tabular Foundation Models",3.6
120292,SwS: Self-aware Weakness-driven Problem Synthesis in Reinforcement Learning for LLM Reasoning,5.0
119101,CAMILA: Context-Aware Masking for Image Editing with Language Alignment,4.7
118242,Learning Dynamics of RNNs in Closed-Loop Environments,2.3
119643,MINGLE: Mixtures of Null-Space Gated Low-Rank Experts for Test-Time Continual Model Merging,5.0
119096,Stealthy Yet Effective: Distribution-Preserving Backdoor Attacks on Graph Classification,4.7
119462,UniSite: The First Cross-Structure Dataset and Learning Framework for End-to-End Ligand Binding Site Detection,5.0
118454,PPMStereo: Pick-and-Play Memory Construction for Consistent Dynamic Stereo Matching,3.9
119034,FRBNet: Revisiting Low-Light Vision through Frequency-Domain Radial Basis Network,4.7
121860,ORBIT - Open Recommendation Benchmark for Reproducible Research with Hidden Tests,5.0
120187,Failure by Interference: Language Models Make Balanced Parentheses Errors  When Faulty Mechanisms Overshadow Sound Ones,2.3
117534,The Quotient Bayesian Learning Rule,2.3
117543,Domain Adaptive Hashing Retrieval via VLM Assisted Pseudo-Labeling and Dual Space Adaptation,5.0
119854,Audits Under Resource and Information Constraints: Scaling Laws for Fairness Pareto Frontiers,4.4
115540,Objective Soups: Multilingual Multi-Task Modeling for Speech Processing,3.6
117796,Parameter Efficient Merging for Multimodal Large Language Models with Direction Robustness,3.1
120141,Zero-Shot Detection of LLM-Generated Text via Implicit Reward Model,3.8
116255,Direct Alignment with Heterogeneous Preferences,1.5
115808,ArchCAD-400K: A Large-Scale CAD drawings Dataset and New Baseline for Panoptic Symbol Spotting,4.7
116367,Collective Counterfactual Explanations: Balancing Individual Goals and Collective Dynamics,4.7
116507,Advancing Expert Specialization for Better MoE,5.0
116509,Exploiting Dynamic Sparsity in Einsum,3.6
115957,What does gradient variance tell us about the optimality of vector fields?,3.9
115608,Mitigating Hallucination Through Theory-Consistent Symmetric Multimodal Preference Optimization,3.9
117580,TC-Light: Temporally Consistent Relighting for Dynamic Long Videos,3.9
116618,Tight analyses of first-order methods with error feedback,2.3
116023,Compositional World Modeling with Products of Programmatic Experts,3.5
115110,Learning Human-Object Interaction as Groups,5.0
119110,Seeds of Structure: Patch PCA Reveals Universal Compositional Cues in Diffusion Models,3.9
119216,FreqExit: Enabling Early-Exit Inference for Visual Autoregressive Models via Frequency-Aware Guidance,4.4
121542,MMCSBench: A Fine-Grained Benchmark for Large Vision-Language Models in Camouflage Scenes,3.9
119281,Median Selection with  Noisy  and Structural Information,2.3
117252,Local Learning for Covariate Selection in Nonparametric Causal Effect Estimation with Latent Variables,3.1
118502,Cycle-Sync: Robust Global Camera Pose Estimation through Enhanced Cycle-Consistent Synchronization,3.9
118852,Your Pre-trained LLM is Secretly an Unsupervised Confidence Calibrator,4.3
115210,Policy Compatible Skill Incremental Learning via Lazy Learning Interface,4.3
117240,Inference-time Alignment in Continuous Space,3.5
116025,Injecting Frame-Event Complementary Fusion into Diffusion for Optical Flow in Challenging Scenes,5.0
115192,Continuous Thought Machines,4.0
115664,"ShapeCraft: LLM Agents for Structured, Textured and Interactive 3D Modeling",2.3
115894,Towards Predicting Any Human Trajectory In Context,5.0
120029,"Generate, but Verify: Reducing Hallucination in Vision-Language Models with Retrospective Resampling",5.0
119245,NeurIPT: Foundation Model for Neural Interfaces,5.0
117670,Alignment of Large Language Models with Constrained Learning,2.3
116116,Quantifying Uncertainty in Error Consistency: Towards Reliable Behavioral Comparison of Classifiers,3.6
121774,The Common Pile v0.1: An 8TB Dataset of Public Domain and Openly Licensed Text,3.1
117826,ExGra-Med: Extended Context Graph Alignment for Medical Vision-Language Models,4.7
118046,Efficient Transition Matrices to Enable State Tracking in State-Space Models,3.1
118671,From Likelihood to Fitness: Improving Variant Effect Prediction in Protein and Genome Language Models,3.6
115236,Error Forcing in Recurrent Neural Networks,2.3
117020,Stability and Sharper Risk Bounds with Convergence Rate $\tilde{O}(1/n^2)$,1.0
115817,Missing Data Imputation by Reducing Mutual Information with Rectified Flows,5.0
118735,StegoZip: Enhancing Linguistic Steganography Payload in Practice with Large Language Models,4.3
115575,Mesh-RFT: Enhancing Mesh Generation via Fine-grained Reinforcement Fine-Tuning,4.7
117857,Avoiding exp(R) scaling in RLHF through Preference-based Exploration,3.1
119973,A Cramér–von Mises Approach to Incentivizing Truthful Data Sharing,3.1
117105,End-to-End Low-Light Enhancement for Object Detection with Learned Metadata from RAWs,3.1
119358,Flow based approach for Dynamic Temporal Causal models with non-Gaussian or Heteroscedastic Noises,3.6
115497,Auto-Connect: Connectivity-Preserving RigFormer with  Direct Preference Optimization,3.9
115493,Scaling Offline RL via Efficient and Expressive Shortcut Models,3.1
115147,Efficient Prompt Compression with Evaluator Heads for Long-Context Transformer Inference,3.9
117883,Multiscale guidance of AlphaFold3 with heterogeneous cryo-EM data,1.5
117833,Plenodium: UnderWater 3D Scene Reconstruction with Plenoptic Medium Representation,5.0
117637,"Convergence of Clipped SGD on Convex $(L_0,L_1)$-Smooth Functions",1.8
118410,Robot-R1: Reinforcement Learning for Enhanced Embodied Reasoning in Robotics,4.7
117548,Communication-Efficient Language Model Training Scales Reliably and Robustly: Scaling Laws for DiLoCo,1.5
117249,CSBrain: A Cross-scale Spatiotemporal Brain Foundation Model for EEG Decoding,5.0
120235,PaceLLM: Brain-Inspired Large Language Models for Long-Context Understanding,2.3
118249,Offline Goal Conditioned Reinforcement Learning with Temporal Distance Representations,3.9
115245,HopaDIFF: Holistic-Partial Aware Fourier Conditioned Diffusion for Referring Human Action Segmentation in Multi-Person Scenarios,5.0
115638,Wukong's 72 Transformations: High-fidelity 3D Morphing via Flow Models,5.0
115389,Removing Concepts from Text-to-Image Models with Only Negative Samples,3.4
118605,Panoptic Captioning: Seeking An Equivalency Bridge for Image and Text,5.0
119013,From Bytes to Ideas: Language Modeling with Autoregressive U-Nets,1.5
118902,Siegel Neural Networks,4.7
119496,GSPN-2: Efficient Parallel Sequence Modeling,2.8
121480,PRING: Rethinking Protein-Protein Interaction Prediction from Pairs to Graphs,5.0
117646,Neural Hamiltonian Diffusions for Modeling Structured Geometric Dynamics,3.4
119968,XVerse: Consistent Multi-Subject Control of Identity and Semantic Attributes via DiT Modulation,3.4
115132,Temporal Representation Alignment: Successor Features Enable Emergent Compositionality in Robot Instruction Following,1.0
119563,Anatomically inspired digital twins capture hierarchical object representations in visual cortex,4.8
116539,Efficient Algorithms for Robust and Partial Semi-Discrete Optimal Transport,2.3
117946,Normalized Attention Guidance: Universal Negative Guidance for Diffusion Models,3.5
116479,ALTo: Adaptive-Length Tokenizer for Autoregressive Mask Generation,5.0
119937,Theoretical Insights into In-context Learning with Unlabeled Data,3.1
120174,Unified Scaling Laws for Learning over Compressed Representations,2.3
119045,Revisiting Logit Distributions for Reliable Out-of-Distribution Detection,5.0
115744,Hogwild! Inference: Parallel LLM Generation via Concurrent Attention,3.6
121530,SentinelKilnDB: A Large-Scale Dataset and Benchmark for OBB Brick Kiln Detection in South Asia Using Satellite Imagery,5.0
116896,MaxSup: Overcoming Representation Collapse in Label Smoothing,4.3
119572,Unlocking Multimodal Mathematical Reasoning via Process Reward Model,5.0
116897,MaxSup: Overcoming Representation Collapse in Label Smoothing,4.3
121865,"Meta-World+: An Improved, Standardized, RL Benchmark",3.0
119436,NFL-BA: Near-Field Light Bundle Adjustment for SLAM in Dynamic Lighting,4.4
116559,A Theoretical Framework for Grokking: Interpolation followed by Riemannian Norm Minimisation,1.5
119599,Certifying Concavity and Monotonicity in Games via Sum-of-Squares Hierarchies,2.8
115003,Training the Untrainable: Introducing Inductive Bias via Representational Alignment,3.6
116253,On the creation of narrow AI: hierarchy and nonlocality of neural network skills,2.8
